time="2024-06-25T23:54:22+08:00" level=warning msg="/srv/dev-disk-by-uuid-417ee010-3948-4114-8776-bc1fdf6b5599/data/docker_compose/Odoo_16/Odoo_16.yml: `version` is obsolete"
web-1  | 2024-06-25 15:48:11,430 1 INFO odoo_16_docker odoo.addons.base.models.ir_module: ALLOW access to module.update_list on [] to user __system__ #1 via n/a 
web-1  | 2024-06-25 15:48:13,080 1 INFO odoo_16_docker odoo.modules.loading: loading 8 modules... 
web-1  | 2024-06-25 15:48:13,080 1 INFO odoo_16_docker odoo.modules.loading: Loading module web (2/8) 
web-1  | 2024-06-25 15:48:13,155 1 INFO odoo_16_docker odoo.modules.registry: module web: creating or updating database tables 
web-1  | 2024-06-25 15:48:14,658 1 INFO odoo_16_docker odoo.modules.loading: loading web/security/ir.model.access.csv 
web-1  | 2024-06-25 15:48:14,685 1 INFO odoo_16_docker odoo.modules.loading: loading web/views/webclient_templates.xml 
web-1  | 2024-06-25 15:48:14,845 1 INFO odoo_16_docker odoo.modules.loading: loading web/views/report_templates.xml 
web-1  | 2024-06-25 15:48:15,090 1 INFO odoo_16_docker odoo.modules.loading: loading web/views/base_document_layout_views.xml 
web-1  | 2024-06-25 15:48:15,125 1 INFO odoo_16_docker odoo.modules.loading: loading web/views/speedscope_template.xml 
web-1  | 2024-06-25 15:48:15,140 1 INFO odoo_16_docker odoo.modules.loading: loading web/views/lazy_assets.xml 
web-1  | 2024-06-25 15:48:15,159 1 INFO odoo_16_docker odoo.modules.loading: loading web/views/neutralize_views.xml 
web-1  | 2024-06-25 15:48:15,181 1 INFO odoo_16_docker odoo.modules.loading: loading web/data/ir_attachment.xml 
web-1  | 2024-06-25 15:48:15,198 1 INFO odoo_16_docker odoo.modules.loading: loading web/data/report_layout.xml 
web-1  | 2024-06-25 15:48:15,312 1 INFO odoo_16_docker odoo.modules.loading: Module web loaded in 2.23s, 882 queries (+882 other) 
web-1  | 2024-06-25 15:48:15,312 1 INFO odoo_16_docker odoo.modules.loading: Loading module auth_totp (3/8) 
web-1  | 2024-06-25 15:48:15,407 1 INFO odoo_16_docker odoo.modules.registry: module auth_totp: creating or updating database tables 
web-1  | 2024-06-25 15:48:15,896 1 INFO odoo_16_docker odoo.modules.loading: loading auth_totp/security/security.xml 
web-1  | 2024-06-25 15:48:15,977 1 INFO odoo_16_docker odoo.modules.loading: loading auth_totp/security/ir.model.access.csv 
web-1  | 2024-06-25 15:48:16,004 1 INFO odoo_16_docker odoo.modules.loading: loading auth_totp/data/ir_action_data.xml 
web-1  | 2024-06-25 15:48:16,023 1 INFO odoo_16_docker odoo.modules.loading: loading auth_totp/views/res_users_views.xml 
web-1  | 2024-06-25 15:48:16,100 1 INFO odoo_16_docker odoo.modules.loading: loading auth_totp/views/templates.xml 
web-1  | 2024-06-25 15:48:16,117 1 INFO odoo_16_docker odoo.modules.loading: loading auth_totp/wizard/auth_totp_wizard_views.xml 
web-1  | 2024-06-25 15:48:16,184 1 INFO odoo_16_docker odoo.modules.loading: Module auth_totp loaded in 0.87s, 175 queries (+175 other) 
web-1  | 2024-06-25 15:48:16,184 1 INFO odoo_16_docker odoo.modules.loading: Loading module base_import (4/8) 
web-1  | 2024-06-25 15:48:16,361 1 INFO odoo_16_docker odoo.modules.registry: module base_import: creating or updating database tables 
web-1  | 2024-06-25 15:48:20,157 1 INFO odoo_16_docker odoo.modules.loading: loading base_import/security/ir.model.access.csv 
web-1  | 2024-06-25 15:48:20,258 1 INFO odoo_16_docker odoo.modules.loading: Module base_import loaded in 4.07s, 891 queries (+891 other) 
web-1  | 2024-06-25 15:48:20,259 1 INFO odoo_16_docker odoo.modules.loading: Loading module bus (5/8) 
web-1  | 2024-06-25 15:48:20,362 1 INFO odoo_16_docker odoo.modules.registry: module bus: creating or updating database tables 
web-1  | 2024-06-25 15:48:20,802 1 INFO odoo_16_docker odoo.modules.loading: loading bus/security/ir.model.access.csv 
web-1  | 2024-06-25 15:48:20,926 1 INFO odoo_16_docker odoo.modules.loading: Module bus loaded in 0.67s, 103 queries (+103 other) 
web-1  | 2024-06-25 15:48:20,927 1 INFO odoo_16_docker odoo.modules.loading: Loading module web_kanban_gauge (6/8) 
web-1  | 2024-06-25 15:48:21,074 1 INFO odoo_16_docker odoo.modules.loading: Module web_kanban_gauge loaded in 0.15s, 12 queries (+12 other) 
web-1  | 2024-06-25 15:48:21,074 1 INFO odoo_16_docker odoo.modules.loading: Loading module web_tour (7/8) 
web-1  | 2024-06-25 15:48:21,150 1 INFO odoo_16_docker odoo.modules.registry: module web_tour: creating or updating database tables 
web-1  | 2024-06-25 15:48:21,331 1 INFO odoo_16_docker odoo.modules.loading: loading web_tour/security/ir.model.access.csv 
web-1  | 2024-06-25 15:48:21,360 1 INFO odoo_16_docker odoo.modules.loading: loading web_tour/security/ir.rule.csv 
web-1  | 2024-06-25 15:48:21,392 1 INFO odoo_16_docker odoo.modules.loading: loading web_tour/views/tour_views.xml 
web-1  | 2024-06-25 15:48:21,494 1 INFO odoo_16_docker odoo.modules.loading: Module web_tour loaded in 0.42s, 101 queries (+101 other) 
web-1  | 2024-06-25 15:48:21,495 1 INFO odoo_16_docker odoo.modules.loading: Loading module web_editor (8/8) 
web-1  | 2024-06-25 15:48:21,694 1 INFO odoo_16_docker odoo.modules.registry: module web_editor: creating or updating database tables 
web-1  | 2024-06-25 15:48:23,608 1 INFO odoo_16_docker odoo.modules.loading: loading web_editor/security/ir.model.access.csv 
web-1  | 2024-06-25 15:48:23,635 1 INFO odoo_16_docker odoo.modules.loading: loading web_editor/data/editor_assets.xml 
web-1  | 2024-06-25 15:48:23,649 1 INFO odoo_16_docker odoo.modules.loading: loading web_editor/views/editor.xml 
web-1  | 2024-06-25 15:48:23,717 1 INFO odoo_16_docker odoo.modules.loading: loading web_editor/views/snippets.xml 
web-1  | 2024-06-25 15:48:23,857 1 INFO odoo_16_docker odoo.modules.loading: Module web_editor loaded in 2.36s, 821 queries (+822 other) 
web-1  | 2024-06-25 15:48:23,857 1 INFO odoo_16_docker odoo.modules.loading: 8 modules loaded in 10.78s, 2985 queries (+2986 extra) 
web-1  | 2024-06-25 15:48:24,511 1 INFO odoo_16_docker odoo.modules.loading: Modules loaded. 
web-1  | 2024-06-25 15:48:24,539 1 INFO odoo_16_docker odoo.modules.registry: Registry loaded in 48.268s 
web-1  | 2024-06-25 15:48:24,664 1 INFO odoo_16_docker odoo.addons.base.models.ir_http: Generating routing map for key None 
web-1  | 2024-06-25 15:48:24,671 1 INFO odoo_16_docker odoo.addons.base.models.ir_http: Generating routing map for key None 
web-1  | 2024-06-25 15:48:24,707 1 INFO odoo_16_docker odoo.addons.base.models.ir_http: Generating routing map for key None 
web-1  | 2024-06-25 15:48:24,733 1 INFO odoo_16_docker odoo.addons.base.models.ir_http: Generating routing map for key None 
web-1  | 2024-06-25 15:48:27,954 1 INFO odoo_16_docker werkzeug: 127.0.0.1 - - [25/Jun/2024 15:48:27] "GET /web/database/selector HTTP/1.1" 200 - 7 0.040 49.961
web-1  | 2024-06-25 15:48:27,979 1 INFO odoo_16_docker werkzeug: 127.0.0.1 - - [25/Jun/2024 15:48:27] "GET /web/database/selector HTTP/1.1" 200 - 8 0.088 4.644
web-1  | 2024-06-25 15:48:28,010 1 INFO odoo_16_docker werkzeug: 127.0.0.1 - - [25/Jun/2024 15:48:28] "GET /web/database/selector HTTP/1.1" 200 - 10 0.113 19.749
web-1  | 2024-06-25 15:48:28,042 1 INFO odoo_16_docker werkzeug: 127.0.0.1 - - [25/Jun/2024 15:48:28] "GET /web/database/selector HTTP/1.1" 200 - 7 0.055 34.933
web-1  | 2024-06-25 15:48:28,473 1 INFO odoo_16_docker odoo.addons.base.models.res_users: Login successful for db:odoo_16_docker login:philipshen.fpc from 192.168.1.105 
web-1  | 2024-06-25 15:48:28,526 1 INFO odoo_16_docker werkzeug: 192.168.1.105 - - [25/Jun/2024 15:48:28] "POST /web/database/create HTTP/1.1" 303 - 15852 40.725 21.241
web-1  | 2024-06-25 15:48:28,564 1 INFO odoo_16_docker werkzeug: 192.168.1.105 - - [25/Jun/2024 15:48:28] "GET /web HTTP/1.1" 303 - 6 0.007 0.013
web-1  | 2024-06-25 15:48:35,100 1 INFO odoo_16_docker werkzeug: 192.168.1.105 - - [25/Jun/2024 15:48:35] "GET /web/login HTTP/1.1" 200 - 66 0.100 6.429
web-1  | 2024-06-25 15:48:35,144 1 INFO odoo_16_docker werkzeug: 192.168.1.105 - - [25/Jun/2024 15:48:35] "GET /web/assets/15-3c9896c/web.assets_frontend.min.css HTTP/1.1" 200 - 6 0.008 0.011
web-1  | 2024-06-25 15:48:35,158 1 INFO odoo_16_docker werkzeug: 192.168.1.105 - - [25/Jun/2024 15:48:35] "GET /web/assets/16-82c8452/web.assets_frontend_minimal.min.js HTTP/1.1" 200 - 5 0.006 0.012
